"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"4rVq1URJXRKA91hdCjjn8m","EL DORADO","A-Reece, Fly Anakin","50","-17","0","ZA","2023-10-26","53","True","114392","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.571","0.934","8","-5.25","0","0.287","0.279","0.0","0.166","0.747","152.596","4"
"0VMcatJMemimNFqZsD0RDQ","SET IN STONE","A-Reece, Joey Fatts","49","-15","1","ZA","2023-10-26","52","True","126483","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.722","0.568","4","-7.631","0","0.31","0.167","0.0","0.0809","0.609","152.305","4"
"68Dni7IE4VyPkTOH9mRWHr","No Role Modelz","J. Cole","48","2","-4","ZA","2023-10-26","91","True","292799","2014 Forest Hills Drive","2014-12-09","0.69","0.521","10","-8.492","0","0.339","0.324","0.0","0.0534","0.494","100.028","4"
"0AtUfScqL8UjpRGI2Mt4BI","Ngizwile","Deejaykgosi, Baby Momo, Lington, Zee_nhle, iam.psalm, Phemelo Saxer","47","3","-6","ZA","2023-10-26","60","False","334419","Ngizwile","2023-07-21","0.817","0.451","4","-12.74","0","0.0594","0.0383","0.065","0.0544","0.224","112.009","4"
"0JtoyusgiISK10cXzX79uH","Habibi (Quantum Sound)","Sizwe Nineteen, R-Bee, De’vine 07, Drumonade, Tumi Sdomane","46","4","-8","ZA","2023-10-26","61","False","368640","Habibi (Quantum Sound)","2023-08-01","0.822","0.534","1","-9.491","1","0.0585","0.00698","0.0304","0.0957","0.388","112.018","4"
"6wf7Yu7cxBSPrRlWeSeK0Q","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish","45","5","-5","ZA","2023-10-26","96","False","222369","What Was I Made For? [From The Motion Picture ""Barbie""]","2023-07-13","0.444","0.0911","0","-17.665","1","0.0307","0.959","1.05e-06","0.098","0.142","78.403","4"
"0NfP4dGLMk5WnufZOEC6aM","CHAMPION","A-Reece, M.anifest","44","-13","6","ZA","2023-10-26","52","True","246852","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.482","0.59","4","-8.086","1","0.266","0.642","4.17e-06","0.153","0.663","85.24","4"
"4tsVMjM60RNTe9EV5oQ4sQ","Masithokoze","DJ Stokie, Eemoh","43","3","7","ZA","2023-10-26","49","False","427217","Masithokoze","2023-10-20","0.603","0.501","6","-14.253","0","0.0617","0.0224","0.155","0.0154","0.355","113.006","4"
"0AYt6NMyyLd0rLuvr0UkMH","Slime You Out (feat. SZA)","Drake, SZA","42","8","-20","ZA","2023-10-26","84","True","310490","For All The Dogs","2023-10-06","0.483","0.408","5","-9.243","0","0.0502","0.508","0.0","0.259","0.105","88.88","3"
"30KLjH8zu6QFz1LxbTMu6u","GOD LAUGHS","A-Reece, Sjava, Shekhinah","41","-14","9","ZA","2023-10-26","53","True","199738","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.535","0.537","3","-8.445","0","0.468","0.108","0.0","0.0835","0.736","70.404","4"
"7ko9EAsZ2N1ZpEBlMUkR3J","Nana Thula (feat. Njelic, Young Stunna, Nkosazana Daughter & Xolani Guitars)","Kabza De Small, DJ Maphorisa, Njelic, Young Stunna, Nkosazana Daughter, Xolani Guitars","40","5","-8","ZA","2023-10-26","63","False","492831","The Konka Mixtape : Sweet & Dust","2023-05-19","0.795","0.755","1","-8.849","1","0.0551","0.00987","0.00651","0.0272","0.53","112.998","4"
"1CrwpdodnkXcjPSrg8kw9g","Gangnam Style (feat. DJ Maphorisa & Kabza De Small)","Mas Musiq, Daliwonga, DJ Maphorisa, Kabza De Small","39","9","-4","ZA","2023-10-26","55","False","350309","NINI na NINI","2023-04-21","0.926","0.733","2","-12.642","0","0.056","0.0632","0.000135","0.04","0.905","111.01","4"
"3eP13S8D5m2cweMEg3ZDed","Virginia Beach","Drake","38","4","-14","ZA","2023-10-26","88","True","251094","For All The Dogs","2023-10-06","0.402","0.514","1","-7.322","0","0.0471","0.106","0.0","0.181","0.2","120.009","4"
"1eIk9KQ1zkDB4K3QO4cmlQ","BRUCE WAYNE","A-Reece","37","-14","-26","ZA","2023-10-26","57","True","115575","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.775","0.458","4","-9.585","0","0.225","0.305","2.82e-05","0.6","0.555","76.064","4"
"5O677N09WkpiDFluKb1fXh","Wena Wa Pallwa (feat. Ch'cco & LeeMcKrazy)","Jimmy Maradona, QuayR Musiq, Mellow & Sleazy, Ch'cco, LeeMcKrazy","36","7","-6","ZA","2023-10-26","64","False","360920","Wena Wa Pallwa (feat. Ch'cco & LeeMcKrazy)","2023-07-14","0.821","0.45","1","-10.66","1","0.0764","0.00181","0.12","0.0591","0.158","111.999","4"
"2V2K1hzCtgj9xAnga9WUTy","Horns In The Sun - Thakzin Remix","DJ Kent, Thakzin, Mo-T, MÖRDA, Brenden Praise","35","14","15","ZA","2023-10-26","55","False","336657","Weekent Sun Sets (Horns In The Sun Remix EP)","2023-08-29","0.733","0.958","5","-8.262","0","0.067","0.0633","0.693","0.304","0.21","118.024","4"
"1AVIL2s4vkE92Qupej37JR","uLala Kanjani (feat. LeeMcKrazy & Skandisoul)","Dj Jaivane, LeeMcKrazy, Skandisoul","34","2","-1","ZA","2023-10-26","61","False","347245","uLala Kanjani (feat. LeeMcKrazy & Skandisoul)","2023-07-19","0.874","0.405","11","-11.942","1","0.0568","0.00126","0.000707","0.0443","0.491","111.012","4"
"0JXXNGljqupsJaZsgSbMZV","Sure Thing","Miguel","33","11","4","ZA","2023-10-26","90","False","195373","All I Want Is You","2010-11-26","0.684","0.607","11","-8.127","0","0.1","0.0267","0.000307","0.191","0.498","81.001","4"
"4rXLjWdF2ZZpXCVTfWcshS","fukumean","Gunna","32","5","-7","ZA","2023-10-26","95","True","125040","a Gift & a Curse","2023-06-16","0.847","0.622","1","-6.747","0","0.0903","0.119","0.0","0.285","0.22","130.001","4"
"4iZ4pt7kvcaH6Yo8UoZ4s2","Snooze","SZA","31","10","0","ZA","2023-10-26","92","True","201800","SOS","2022-12-09","0.559","0.551","5","-7.231","1","0.132","0.141","0.0","0.11","0.392","143.008","4"
